Šilumos suvartojimo ir mokėjimų už šilumą analizė Lietuvos miestų daugiabučiuose gyvenamuosiuose namuose 2018 m. spalio mėn.,,,,,,,,,,,,,,,,,,,,,
(laikotarpis nuo šildymo sezono pradžios iki mėnesio pabaigos),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Pastatų grupės kategorija pagal šilumos suvartojimą,Nr.,Įmonė,Miestas,Adresas,Namo renovacijos tipas,Butų sk.,Statybos metai,Suvartotas šilumos kiekis,,,,,,Namo plotas,Apmokestinta šiluma šildymui gyventojams,Butų plotas,Šilumos suvartojimas šildymui,Šilumos kaina gyventojams (su PVM),Mokėjimai už šilumą 1 m² ploto šildymui (su PVM),Šilumos suvartojimas 60 m² ploto buto šildymui,Mokėjimai už šilumą 60 m² ploto buto šildymui (su PVM)
,,,,,,,,Iš viso,Karštam vandeniui ruošti,Karšto vandens temp. palaikymui,Su nepaskirstytu karštu vandeniu,Bendrosioms reikmėms,Butų ir kitų patalpų šildymui,,,,,,,,
,,,,,,vnt.,metai,MWh,MWh,MWh,MWh,MWh,MWh,m²,MWh,m²,MWh/m²/mėn,EUR/MWh,EUR/m²/mėn,kWh/mėn,EUR/mėn
7,8,1,2,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,25
,1,"AB ,,Kauno energija""",Kaunas,Jaunimo 4 (renov.),Pilnai renovuotas,64,1987,"3,2","4,8","-1,7",0,0,0,"2419,1",0,"2419,1",0,"47,4",0,0,0
,46,"AB ,,Kauno energija""",Kaunas,Ašmenos 1-oji g. 10,,86,2006,20,"12,4","-0,3",0,0,8,"5046,7",8,"5046,7",16,"47,4","0,08","94,94","4,5"
,50,"AB ,,Kauno energija""",Kaunas,Karaliaus Mindaugo 7,,18,2006,"6,1","1,8","0,8","0,4",0,"3,2","1988,3","2,6","1587,5",16,"47,4","0,08","96,87","4,59"
,64,"AB ,,Kauno energija""",Kaunas,Krėvės 82B,,118,2007,"45,5","19,6","12,8",0,0,"13,1","7726,7","11,8",6972,17,"47,4","0,08","101,82","4,83"
,68,"AB ,,Kauno energija""",Kaunas,Radvilėnų 5,,60,2005,"22,1","9,2","3,9","0,4",0,"8,6","4933,5","8,3","4747,3",17,"47,4","0,08","104,59","4,96"
,79,"AB ,,Kauno energija""",Kaunas,Sukilėlių 87A,,72,2005,"24,7","11,2","3,9","-0,4",0,10,"5346,2",10,"5346,2",19,"47,4","0,09","112,34","5,32"
,141,"AB ,,Kauno energija""",Kaunas,Archyvo 48,,38,2004,"11,4","4,9","0,1","0,3",0,"6,2","2371,7","6,2","2371,7",26,"47,4","0,12","155,58","7,37"
,155,"AB ,,Kauno energija""",Kaunas,Prūsų g. 15,,39,2007,"13,6","5,6","1,2",0,0,"6,8","2368,8","6,8","2368,8",29,"47,4","0,14","170,95","8,1"
,166,"AB ,,Kauno energija""",Kaunas,Geležinio Vilko 1A,,51,2005,"15,1","5,4","0,1",0,0,"9,6","3073,9","9,3","3001,7",31,"47,4","0,15","186,42","8,84"
,171,"AB ,,Kauno energija""",Kaunas,Saulės 3,,22,2006,"8,3","2,9","0,1",0,0,"5,4","1697,8","5,4","1697,8",32,"47,4","0,15","190,38","9,02"
,221,"AB ,,Kauno energija""",Kaunas,Vievio 54 (renov.),,38,1990,"13,9","5,5","5,7","0,5",0,"2,2","2118,6","2,2","2118,6",10,"47,4","0,05","62,02","2,94"
,245,"AB ,,Kauno energija""",Kaunas,Lukšio P. 4 (renov.)***,Pilnai renovuotas,54,1982,"13,2","4,3",1,0,0,"7,9","3554,8","7,9","3554,8",22,"47,4","0,11","134,02","6,35"
,246,"AB ,,Kauno energija""",Kaunas,Krėvės 115 A (renov)**,Pilnai renovuotas,72,1975,"17,5","6,2","2,9",0,0,"8,5","3784,1","8,5","3784,1",22,"47,4","0,11","134,14","6,36"
,250,"AB ,,Kauno energija""",Kaunas,Škirpos K. g. 15 (renov.)***,Pilnai renovuotas,56,1978,"15,3",6,"-1,1","2,3",0,"8,2","3531,4","8,2","3531,4",23,"47,4","0,11","138,98","6,59"
,268,"AB ,,Kauno energija""",Kaunas,Kovo 11-osios 114 (renov.),,100,1972,"35,3",9,"12,9","1,3",0,"12,1","4425,3","12,1","4425,3",27,"47,4","0,13","164,33","7,79"
,273,"AB ,,Kauno energija""",Kaunas,Sąjungos a. 10 (renov.),,63,1960,"7,8","2,7","1,6",0,0,"2,7",924,"2,7",924,29,"47,4","0,14","172,07","8,16"
,281,"AB ,,Kauno energija""",Kaunas,Krėvės 61 (renov.),,60,1968,"20,4","7,3","6,6","-1,6",0,"8,1","2714,9","8,1","2714,9",30,"47,4","0,14","179,67","8,52"
,317,"AB ,,Kauno energija""",Kaunas,Jėgainės 23 (renov),,12,1956,"4,1","1,7",0,0,"0,1","2,3","640,3","2,3","640,3",35,"47,4","0,17","210,85","9,99"
,321,"AB ,,Kauno energija""",Kaunas,Sąjungos a. 7 (renov.)***,Pilnai renovuotas,32,1962,"6,3","4,3","-3,1",0,0,"5,1","1419,3","5,1","1419,3",36,"47,4","0,17","214,75","10,18"
,351,"AB ,,Kauno energija""",Kaunas,Masiulio T. 1 (renov),,20,1959,"7,4","2,3",0,0,"0,9","4,3","985,6","4,1","941,1",43,"47,4","0,21","259,95","12,32"
,492,"AB ,,Kauno energija""",Kaunas,Lukšos-Daumanto 2,,41,1987,"19,7","3,5","6,3","-0,4",0,"10,3","2323,4","7,4","1658,2",44,"47,4","0,21","265,99","12,61"
,519,"AB ,,Kauno energija""",Kaunas,Partizanų 198,,59,1981,"35,8","6,7","12,7",0,0,"16,4","3418,8","16,1","3356,3",48,"47,4","0,23","287,45","13,63"
,533,"AB ,,Kauno energija""",Kaunas,Lukšio 64,,47,1979,"33,6","6,8","10,9",0,0,"15,9","2974,9","15,6","2918,3",54,"47,4","0,25","321,09","15,22"
,535,"AB ,,Kauno energija""",Kaunas,Pašilės 96,,54,1987,"29,5","5,1","12,7","0,1",0,"11,7","2179,6","11,7","2179,6",54,"47,4","0,25","321,52","15,24"
,542,"AB ,,Kauno energija""",Kaunas,Šiaurės 101,,57,1982,41,"7,2","14,4",0,0,"19,4","3486,1","19,4","3486,1",56,"47,4","0,26","334,07","15,83"
,552,"AB ,,Kauno energija""",Kaunas,Šiaurės 1,,47,1981,"34,3","6,9","10,8",-1,0,"17,5","2980,6","16,8","2853,9",59,"47,4","0,28","352,88","16,73"
,572,"AB ,,Kauno energija""",Kaunas,Taikos 39,,107,1974,"40,2","8,1","15,7",0,0,"16,4",2560,16,"2503,1",64,"47,4","0,3","384,41","18,22"
,586,"AB ,,Kauno energija""",Kaunas,Partizanų 20,,108,1968,"42,9","6,2","19,2",0,0,"17,5","2559,3","17,5","2559,3",68,"47,4","0,32","410,03","19,44"
,589,"AB ,,Kauno energija""",Kaunas,Baltų 2,,92,1991,"49,5",7,"16,4",0,0,26,"3724,7","24,8","3549,5",70,"47,4","0,33","419,29","19,87"
,591,"AB ,,Kauno energija""",Kaunas,Gravrogkų 17,,118,1961,"29,3","9,2","1,5",0,0,"18,5",2620,"18,5",2620,71,"47,4","0,34","424,45","20,12"
,698,"AB ,,Kauno energija""",Kaunas,Draugystės 6,,55,1977,"27,6","4,5",11,0,0,"12,1","2217,3","12,1","2217,3",54,"47,4","0,26","326,07","15,46"
,751,"AB ,,Kauno energija""",Kaunas,Jakšto 8,,8,1901,"2,6",0,0,0,0,"2,6","330,1","2,3","294,5",79,"47,4","0,37","472,53","22,4"
,758,"AB ,,Kauno energija""",Kaunas,Baršausko 78,,32,1961,"15,7","3,9",0,0,0,"11,7","1429,6","11,7","1429,6",82,"47,4","0,39","492,63","23,35"
,761,"AB ,,Kauno energija""",Kaunas,Savanorių 237,,22,1958,"12,8",0,0,0,0,"12,8","1528,3","9,3","1113,7",84,"47,4","0,4","502,53","23,82"
,770,"AB ,,Kauno energija""",Kaunas,Juozapavičiaus 48 A,,25,1957,14,0,0,0,0,14,"1561,5",14,"1561,5",90,"47,4","0,42","536,81","25,44"
,794,"AB ,,Kauno energija""",Kaunas,Kalantos R. 23,,28,1957,"16,3",0,0,0,0,"16,3","1462,5","14,5","1301,1",111,"47,4","0,53","667,07","31,62"
,798,"AB ,,Kauno energija""",Kaunas,Stulginskio A. 64,,18,1959,"13,3","2,4",0,0,0,11,"963,8",11,"963,8",114,"47,4","0,54","683,2","32,38"
,818,"AB ,,Kauno energija""",Kaunas,Armatūrininkų 6,,7,1959,4,0,0,0,0,4,322,4,322,125,"47,4","0,59","747,25","35,42"
,820,"AB ,,Kauno energija""",Kaunas,Strazdo A. 77,,24,1962,"5,1",0,0,0,0,"5,1",402,"5,1",402,127,"47,4","0,6","759,94","36,02"
,862,"AB ,,Kauno energija""",Kaunas,Instituto 18,,8,iki 1992,7,"0,8",0,0,0,"6,2","364,3","6,2","364,3",170,"47,4","0,81","1019,88","48,34"
